ID,MakeText,ModelText,ModelTypeText,TypeName,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText1076.0,Mercedes-Benz,S 500,S 500,S 500,Purple,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,10,1999,Benzin,306,schwarz,32000,"Ab MFK",5,Automat
367.0,Mercedes-Benz,S 250,S 250 CDI BlueEff SS,S 250 CDI BlueEff SS,Gray,Limousine,2143,Zuzwil,146 g/km,Occasion,C,5.5 l/100km,4,Hinterradantrieb,9,2011,Diesel,204,schwarz,43000,"Ab MFK", "Direkt-/Parallelimport",5,Automat sequentiell
643.0,BMW,330,330Ci,330Ci,Black,Coupé,2979,Zuzwil,218 g/km,Occasion,G,9.1 l/100km,2,Hinterradantrieb,3,2001,Benzin,231,grau,79500,"Ab MFK",5,Schaltgetriebe manuell
968.0,BMW,X5,X5 4.4i,X5 4.4i,Silver,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,11,2000,Benzin,286,schwarz,41900,"Ab MFK",5,Automat sequentiell
1127.0,Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,White,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,1,2009,Benzin,580,null,31500,"Ab MFK",5,Automat sequentiell
246.0,Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Gray,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,1,2003,Benzin,450,schwarz,39000,"Ab MFK",5,Automat sequentiell
407.0,Mercedes-Benz,null,CLK DTM AMG,CLK DTM AMG,Green,Limousine,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,8,2005,Benzin,582,schwarz,16660,"Ab MFK",2,Automatik-Getriebe
633.0,BMW,M6,M6,M6,Black,Coupé,4999,Zuzwil,357 g/km,Occasion,G,14.8 l/100km,2,Hinterradantrieb,4,2005,Benzin,507,schwarz,58300,"Ab MFK",4,Automatisiertes Schaltgetriebe
677.0,Audi,A8,A8 3.7,A8 3.7,Black,Limousine,3695,Zuzwil,314 g/km,Occasion,null,13.3 l/100km,4,Vorderradantrieb,6,1999,Benzin,230,blau,19900,"Ab MFK",5,Automat
490.0,Ferrari,575M,575M,575M,Red,Coupé,5748,Zuzwil,499 g/km,Occasion,G,21.8 l/100km,2,Hinterradantrieb,1,2004,Benzin,517,beige,28000,"Ab MFK",2,Automatisiertes Schaltgetriebe
515.0,Alfa Romeo,GTV,GTV 2000 Bertone,2000 Bertone,Black,Coupé,1961,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,1972,Benzin,130,schwarz,18400,null,4,Schaltgetriebe
648.0,BMW,M6,M6,M6,Black,Cabriolet,4999,Zuzwil,366 g/km,Occasion,G,15.2 l/100km,2,Hinterradantrieb,4,2007,Benzin,507,schwarz,48000,"Ab MFK",4,Automatisiertes Schaltgetriebe
69.0,Bentley,ARNAGE,Arnage Green Label,Arnage Green Label,Blue,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,2,1999,Benzin,354,grau,44600,"Ab MFK",5,Automat
791.0,Mercedes-Benz,SL 500,SL 500,SL 500,Black,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,8,1997,Benzin,320,grau,39800,"Ab MFK",2,Automat
807.0,Audi,RS5,RS5 Coupé 4.2FSI quattro,RS5 Coupé 4.2FSI quattro,Black,Coupé,4163,Zuzwil,252 g/km,Occasion,G,10.8 l/100km,2,Allrad,1,2011,Benzin,450,schwarz,31750,"Ab MFK",4,Automatisiertes Schaltgetriebe
955.0,Mercedes-Benz,E 320,E 320 CDI Avantgarde,E 320 CDI Avantgarde,Silver,Limousine,2987,Zuzwil,202 g/km,Vorführmodell,G,7.6 l/100km,4,Hinterradantrieb,6,2007,Diesel,224,schwarz,100,"Ab MFK",5,Automat sequentiell
1134.0,Rolls-Royce,PHANTOM,Phantom 6.7 V12,Phantom 6.7 V12,White,Limousine,6749,Zuzwil,385 g/km,Occasion,G,15.9 l/100km,4,Hinterradantrieb,1,2004,Benzin,460,beige,56000,"Ab MFK",5,Automat
118.0,Mercedes-Benz,null,CLK DTM AMG,CLK DTM AMG,Blue,Cabriolet,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,2008,Benzin,582,schwarz,32500,"Ab MFK",4,Automatik-Getriebe
1113.0,Mercedes-Benz,CL 600,CL 600,CL 600,White,Coupé,5513,Zuzwil,353 g/km,Occasion,G,14.7 l/100km,2,Hinterradantrieb,9,2003,Benzin,500,beige,12200,"Ab MFK", "Tuning",4,Automat
